Country,Product,Import_Export,Quantity,Value,Date,Category,Port,Customs_Code,Weight,Shipping_Method,Supplier,Customer,Invoice_Number,Payment_Terms,Total_Value
Czech Republic,how,Import,1855,6941.04,10-05-2022,Machinery,Williamsonchester,935552,4849.42,Land,Golden-Shannon,Alicia Davenport,34235102,Prepaid,12875629.0
Bouvet Island (Bouvetoya),effort,Export,7981,5473.74,04-12-2020,Machinery,Lake Michaelside,412457,334.42,Land,Smith-Carr,Danielle Gomez,4463531,Net 60,43685919.0
Luxembourg,suffer,Import,6235,435.51,02-09-2023,Machinery,New William,610378,598.05,Air,Rogers PLC,Christina Pena,38139015,Net 30,2715405.0
Nigeria,general,Import,1521,4590.67,20-04-2021,Electronics,Michaelshire,200655,2382.38,Sea,Hurst-Gentry,Stephen Silva,20966436,Net 60,6982409.0
New Zealand,floor,Import,7055,9220.81,22-06-2024,Furniture,Mendezview,808610,148.65,Land,Hoffman Group,Nicole Miller,10311032,Cash on Delivery,65052815.0
Egypt,color,Import,5541,2677.63,04-05-2023,Clothing,Courtneytown,242060,4887.23,Land,"Carpenter, Williams and Johnson",Jason Fox,23305516,Prepaid,14836748.0
Aruba,reality,Import,477,2747.1,17-03-2020,Machinery,Lake Jackmouth,116869,3014.59,Sea,Clarke-Wiggins,Calvin Clay,51635562,Net 60,1310367.0
Congo,vote,Export,20,6537.44,19-02-2021,Machinery,New Edwardview,322585,1666.83,Air,Barr Inc,Wayne Wheeler,35853884,Cash on Delivery,130749.0
Ghana,throughout,Export,7857,9120.61,06-09-2020,Clothing,Lake Sherryport,898842,935.13,Air,"Fuentes, Salas and Jackson",Suzanne Nunez,71757251,Prepaid,71660633.0
Maldives,speech,Export,7097,3097.8,07-10-2023,Electronics,Marissashire,834454,4936.03,Sea,Robinson and Sons,Kim Evans MD,93038225,Net 60,21985087.0
Albania,class,Export,8648,3099.4,29-04-2024,Furniture,Ruizmouth,410750,1840.12,Sea,"Beck, Morrison and Brown",Antonio Lewis,76457607,Net 30,26803611.0
Andorra,quality,Import,7293,6356.44,27-06-2022,Clothing,Saramouth,500827,4198.39,Air,Ortiz-Watkins,Mrs. Janice Molina,60415260,Net 60,46357517.0
Samoa,draw,Import,4852,3287.1,26-01-2023,Toys,West Michelleberg,292265,1496.56,Air,"Peterson, Cohen and Hernandez",Wayne Knight,71075694,Cash on Delivery,15949009.0
Isle of Man,hope,Import,9494,756.25,21-01-2020,Toys,West Cynthia,273124,2255.31,Land,Sellers and Sons,Kathleen Estrada,25529142,Cash on Delivery,7179838.0
Peru,me,Import,5960,8362.34,16-11-2022,Machinery,Jerrystad,385966,368.67,Sea,"Hansen, Barber and Sanchez",Austin Montes,61237805,Net 30,49839546.0
Armenia,real,Export,4486,2423.99,29-03-2022,Clothing,Laraborough,178557,844.48,Air,Yang-Young,Diane Black,55424862,Net 30,10874019.0
Seychelles,baby,Import,8368,9042.62,14-07-2020,Machinery,Rosetown,394431,288.17,Air,"Fletcher, Spencer and Brown",Steven Ingram,29476731,Net 60,75668644.0
Malaysia,sometimes,Import,7627,1770.35,06-09-2022,Machinery,Annaberg,956189,2300.27,Land,Lawrence-Calhoun,Michael Mason,58374084,Prepaid,13502459.0
Belarus,able,Export,8201,8147.98,31-05-2023,Machinery,Port Latashaview,643058,1265.96,Sea,Maddox-Fisher,Dylan Adams,79080543,Cash on Delivery,66821584.0
American Samoa,have,Import,2686,9100.56,10-09-2020,Clothing,Allisonside,145731,1192.39,Land,"Beltran, Gomez and Diaz",Kiara Davis,92859210,Net 30,24444104.0
Norfolk Island,light,Export,6288,8670.23,09-08-2022,Clothing,North Brittanyborough,877305,3580.15,Land,"Valdez, Johnson and Davies",Brian Scott,25132852,Cash on Delivery,54518406.0
Svalbard & Jan Mayen Islands,human,Import,3590,2641.62,05-04-2020,Clothing,Jessicaville,393388,4693.2,Land,Farmer-Rodriguez,William Day,41034128,Net 60,9483416.0
Armenia,amount,Import,1788,3870.37,19-06-2024,Machinery,Lake Zacharyton,323692,2320.87,Land,"Rose, Williams and Mcpherson",Stacy Santos,31040583,Net 30,6920222.0
Finland,learn,Export,2255,4997.06,12-04-2021,Electronics,New Lisa,498546,2429.53,Air,Livingston Inc,Samantha Gould,57211371,Cash on Delivery,11268370.0
Maldives,relationship,Export,6647,4312.13,15-06-2023,Furniture,North Kenneth,174153,2401.4,Land,Wilson and Sons,Matthew Davis,6620807,Net 30,28662728.0
Venezuela,total,Export,146,2468.87,24-09-2022,Machinery,Buckleytown,707894,1880.8,Air,Elliott Ltd,Lauren Le,63621016,Cash on Delivery,360455.0
Barbados,may,Export,6264,752.25,07-06-2022,Electronics,Hallville,182656,4968.56,Sea,Logan-Meza,John Bullock,9325157,Net 30,4712094.0
Czech Republic,huge,Export,6411,7818.73,22-10-2022,Machinery,South Diane,221453,1019.89,Sea,Nelson-Mcdowell,Levi Reynolds,13926525,Prepaid,50125878.0
Solomon Islands,including,Import,2774,3663.21,31-08-2024,Toys,Hunterchester,606595,201.64,Land,Stone LLC,Stephen Porter,43268045,Cash on Delivery,10161745.0
Azerbaijan,bill,Import,1801,1749.35,21-10-2020,Furniture,South Gloria,160810,2748.56,Land,Marquez-Ramirez,Kristi Howard,22915884,Net 60,3150579.0
Equatorial Guinea,size,Import,1485,3473.92,19-03-2024,Machinery,South Scott,895594,3525.28,Sea,Wright-Schmitt,Lisa Duffy,72907977,Cash on Delivery,5158771.0
Uganda,main,Import,1854,7863.15,13-03-2021,Machinery,Sextonfurt,218683,3694.56,Air,Torres-Jenkins,Amy Simmons,27042919,Prepaid,14578280.0
Lesotho,appear,Import,3753,4740.16,24-10-2023,Furniture,Martinezmouth,952026,1960.61,Air,"Valdez, Edwards and Petersen",Erin Thompson,72789677,Net 60,17789820.0
Korea,want,Export,1624,9173.98,08-01-2021,Machinery,Jessicaville,138643,1968.82,Air,Daniel Inc,Marcus Mcdonald,38673228,Cash on Delivery,14898544.0
Seychelles,this,Export,3516,2982.65,24-08-2022,Machinery,Mckenzieburgh,241020,2492.86,Land,Lee PLC,Joshua Davis,3919267,Net 30,10486997.0
Cape Verde,majority,Export,4896,1874.37,09-02-2024,Machinery,Melissastad,531758,585.77,Land,Brown-Carpenter,Michael Stewart,41291925,Prepaid,9176916.0
Netherlands Antilles,thought,Import,6303,1662.67,12-11-2022,Electronics,Shellybury,771391,2346.09,Sea,Wong-Weeks,Kim Nguyen,47765208,Cash on Delivery,10479809.0
Israel,when,Import,657,2835.8,28-04-2021,Machinery,Jasonview,453441,1684.62,Land,"Houston, Washington and Campos",Denise Lopez,43843618,Net 60,1863121.0
Japan,son,Export,5598,3603.5,16-01-2023,Toys,New Karina,936467,1083.84,Sea,"Hill, Harris and Mathews",Joseph Gonzalez,77599273,Prepaid,20172393.0
Kazakhstan,charge,Import,5268,7129.14,07-05-2020,Electronics,Dominguezchester,302521,3776.43,Air,Ferguson-Juarez,Dillon Silva,14270137,Prepaid,37556310.0
Luxembourg,growth,Export,9138,5974.07,20-12-2020,Furniture,Padillachester,953425,1902.14,Sea,Johnson Inc,Brenda Martinez,63550774,Prepaid,54591052.0
San Marino,truth,Import,1339,560.53,05-10-2019,Clothing,North Lauraview,307919,4352.07,Sea,Bernard-Cohen,Mr. Brandon Kelly,74472712,Net 60,750550.0
Mozambique,until,Export,5218,9097.86,17-12-2020,Electronics,Daviesview,312753,1446.95,Land,"Hickman, Barton and Kelly",Sandra Stokes,94852633,Net 30,47472633.0
Azerbaijan,western,Import,6352,3599.6,22-02-2023,Furniture,Reedton,722272,3168.17,Land,"Gillespie, Beasley and Martin",Stephanie Lara,58567870,Net 60,22864659.0
United States Minor Outlying Islands,back,Import,5853,9047.45,09-08-2024,Furniture,Serranostad,605600,2902.38,Land,"Wilcox, Cole and Stewart",Thomas Bennett,63822180,Net 60,52954725.0
Brazil,standard,Export,3273,9668.86,15-08-2021,Machinery,West Lonnie,107871,2630.31,Air,Simpson-Braun,Shirley Bradshaw,65808464,Net 30,31646179.0
Algeria,else,Export,2214,2767.29,02-05-2023,Clothing,North Emily,493686,3109.74,Air,Aguirre-Petty,Clinton Kelly,86771268,Net 60,6126780.0
Mexico,produce,Import,2316,8163.51,06-02-2022,Furniture,South Kennethhaven,246321,3089.07,Land,Pena LLC,Gary Walton,50073407,Net 30,18906689.0
French Southern Territories,necessary,Export,8679,4498.06,20-01-2020,Electronics,West Justin,438802,609.74,Sea,Kramer Inc,Wendy Thompson,19686798,Net 30,39038663.0
Slovenia,machine,Import,9559,5317.57,13-08-2024,Toys,West Bryan,784287,1763.97,Sea,"Lopez, Leonard and Gould",Anthony Lopez,55753243,Cash on Delivery,50830652.0
French Southern Territories,method,Import,9298,4103.97,13-06-2022,Clothing,West Kayla,223052,4927.0,Air,"Craig, Wilson and Wade",Karla Sanders MD,77508892,Net 60,38158713.0
Qatar,best,Import,7166,4291.71,25-01-2022,Toys,South William,183229,2081.57,Air,Garza-Contreras,Curtis Garcia,22071346,Prepaid,30754394.0
Sierra Leone,fall,Export,6167,4639.32,22-11-2019,Toys,Davidchester,985571,2808.72,Land,Houston PLC,Joshua Thomas,13347172,Net 30,28610686.0
Argentina,physical,Import,5426,442.2,27-09-2023,Clothing,Carolinestad,145813,33.14,Air,Clayton-Thornton,Albert Harris,15237395,Net 60,2399377.0
United States Minor Outlying Islands,fill,Export,2431,3735.64,21-09-2023,Machinery,Coxshire,387046,1660.64,Sea,Green LLC,Jose Cooper,60364259,Net 60,9081341.0
Myanmar,understand,Import,2545,3742.36,12-12-2022,Electronics,South Kellystad,463821,4365.04,Air,"Gonzalez, Perry and Johnson",Jorge Jones,20768747,Cash on Delivery,9524306.0
Indonesia,exist,Import,7649,9907.03,29-06-2023,Electronics,Robinbury,965429,4121.46,Sea,Hood PLC,Ryan Price,13715922,Cash on Delivery,75778872.0
Saint Barthelemy,weight,Export,5937,8725.94,22-01-2023,Furniture,South Thomasland,133631,641.5,Sea,Hansen-Clark,Dustin Valencia,22473849,Net 30,51805906.0
Vietnam,professor,Export,8729,4501.22,11-07-2022,Toys,Longchester,940317,1613.03,Air,Harding Ltd,Parker Jackson,53785487,Cash on Delivery,39291149.0
Monaco,lead,Export,5769,3570.87,25-10-2023,Clothing,Ryanmouth,432343,4695.38,Air,George Ltd,Caleb Meyer,71921290,Cash on Delivery,20600349.0
Madagascar,room,Import,4409,4616.03,23-09-2022,Machinery,Coleborough,891797,1620.81,Sea,Jackson PLC,Dr. Carol Anderson DVM,56758056,Net 30,20352076.0
Belarus,then,Export,8380,3345.02,08-08-2022,Furniture,Hollandburgh,902585,96.49,Sea,Odonnell Group,Brenda Charles,12604577,Net 30,28031268.0
New Zealand,beat,Export,422,8962.06,23-10-2023,Furniture,Longfurt,516852,3614.48,Sea,"Brown, Huff and Ross",Eric Atkins,63412752,Net 60,3781989.0
Colombia,apply,Import,3208,6707.59,19-01-2023,Machinery,Nobleburgh,596665,990.86,Sea,"Woods, Stephens and Gardner",Annette Preston,59773298,Net 60,21517949.0
United States Virgin Islands,part,Export,8530,5007.53,18-10-2022,Toys,South Edwardton,535818,169.45,Land,"Butler, Potts and Santiago",Donald Moran,38920542,Net 30,42714231.0
Turkey,these,Import,18,2367.32,02-08-2020,Toys,North Matthew,183200,4721.57,Air,Jefferson Inc,Emma Lopez,52754932,Net 60,42612.0
Burkina Faso,dinner,Import,2961,8207.12,27-07-2023,Machinery,North Michelleland,700689,2851.63,Air,"Sanchez, Collins and Acosta",Anthony Garrett,99997994,Net 60,24301282.0
Libyan Arab Jamahiriya,bad,Export,6696,8679.91,03-08-2021,Toys,Port Danielhaven,509682,1563.16,Sea,"Cruz, Lewis and Espinoza",Emily Diaz,91698452,Cash on Delivery,58120677.0
Zimbabwe,woman,Import,6432,7949.9,28-07-2024,Toys,Brandonton,675769,3559.57,Land,Hudson-Webb,Justin Taylor,68002166,Net 60,51133757.0
Mali,try,Export,1392,7372.29,16-11-2021,Electronics,South Zachary,405493,4655.99,Land,Taylor-Adams,Kristin Freeman,81745651,Net 60,10262228.0
Jordan,stop,Import,7921,6356.0,11-07-2021,Electronics,Dylanchester,813051,1530.16,Air,Rose Group,Taylor Luna,92985379,Cash on Delivery,50345876.0
Isle of Man,style,Import,6333,8201.51,27-08-2022,Electronics,South Amyport,238655,1504.02,Sea,Perez-Burns,Leah Gamble,86423608,Prepaid,51940163.0
Mauritania,use,Export,861,5886.57,08-08-2024,Electronics,Alberthaven,938768,651.74,Land,"Herrera, Martinez and Mathews",Javier Thompson,78531183,Cash on Delivery,5068337.0
Armenia,life,Export,876,7730.04,02-09-2022,Clothing,East Shane,106229,4559.87,Land,"Nelson, Rivera and Martin",Erik Flores,87749447,Net 30,6771515.0
Saint Barthelemy,thought,Export,204,1721.25,21-05-2021,Clothing,Michaelport,626424,1684.58,Sea,"Harris, Estrada and Herman",Ruth Weber,34052870,Cash on Delivery,351135.0
Malaysia,political,Import,9687,5391.34,11-01-2020,Electronics,Gonzalesstad,673118,3476.86,Land,Le PLC,David Torres,20082797,Net 60,52225911.0
Lebanon,compare,Import,5880,353.28,04-09-2024,Furniture,West Molly,951312,4231.36,Air,"Brown, Stevens and Martinez",Steve Pena,90361556,Cash on Delivery,2077286.0
Benin,bank,Import,2349,6548.46,07-04-2023,Machinery,Port Brett,880109,390.63,Air,Hudson PLC,Christine Rogers,59780993,Cash on Delivery,15382333.0
Albania,entire,Export,5688,8486.13,03-08-2022,Furniture,Joshuachester,363446,2558.82,Sea,Drake-Jones,Barbara Garrett,90606400,Net 60,48269107.0
Algeria,here,Import,7288,5072.64,19-09-2019,Furniture,Port Haleystad,918466,4189.36,Land,Taylor Inc,David Porter,40567425,Prepaid,36969400.0
Netherlands,physical,Export,2465,5821.28,14-04-2023,Machinery,Smithville,446164,1496.08,Sea,"Lindsey, Porter and Mason",Eugene Medina,39037512,Prepaid,14349455.0
Argentina,art,Import,9566,8146.44,20-05-2024,Machinery,Morrisville,495497,4201.81,Land,"Irwin, Medina and Howard",Jessica Hays,20618460,Net 60,77928845.0
United Kingdom,personal,Import,4327,7772.93,26-12-2023,Furniture,Kathleenland,843263,961.21,Air,Hernandez-Martinez,Fernando Velasquez,64984453,Prepaid,33633468.0
Cameroon,stand,Export,7987,7426.63,09-03-2022,Furniture,Port Christopherview,724967,3596.75,Land,"Burns, Cox and Randall",Daniel Zavala,50341464,Net 60,59316494.0
South Africa,memory,Export,2034,7500.42,01-08-2021,Toys,South Jeffrey,137421,4582.34,Air,"Griffin, Rice and Roberts",Angela Mccoy,60433479,Cash on Delivery,15255854.0
Kiribati,during,Export,8253,8394.27,07-02-2024,Electronics,Elizabethmouth,359787,2597.31,Air,Mcdonald PLC,John Coleman,44612454,Prepaid,69277910.0
Grenada,become,Import,5972,1696.61,03-11-2021,Clothing,Scottstad,693123,430.6,Sea,Hayes-Larsen,John Richmond,74880820,Prepaid,10132155.0
Zambia,physical,Import,1852,5989.25,22-08-2020,Toys,Alecmouth,766618,273.12,Land,Miller-Anderson,Deborah Frank,73889788,Cash on Delivery,11092091.0
Bulgaria,hot,Import,5237,1479.37,21-01-2023,Clothing,Lindseyport,248154,4627.53,Land,Miller and Sons,Deborah Nelson,95969215,Net 60,7747461.0
Congo,treat,Export,2775,4069.66,08-01-2023,Electronics,Garyfort,932967,784.79,Sea,"Martinez, Jensen and Kerr",Alexandra Smith,88180881,Prepaid,11293306.0
Bolivia,find,Import,4068,943.75,06-11-2023,Toys,North Suzanne,610431,2222.2,Sea,"Foster, Brown and Mitchell",Lindsey Gonzalez,74364458,Prepaid,3839175.0
Botswana,office,Export,2153,1708.34,12-06-2023,Electronics,Douglasborough,512788,3427.48,Sea,Rubio-Smith,Tammy Cunningham,67474347,Cash on Delivery,3678056.0
Gabon,lawyer,Import,6555,9698.36,16-01-2022,Machinery,New Amyborough,650261,1848.44,Air,Castro-Kramer,Cynthia Murray,20794324,Prepaid,63572750.0
Papua New Guinea,measure,Export,686,4603.06,17-11-2019,Machinery,Thompsonville,679902,1640.75,Land,"Mccarty, Glass and Schmidt",Lisa Little,33759867,Prepaid,3157699.0
Sudan,half,Export,5019,7749.89,14-01-2021,Clothing,Lake Allen,105266,1323.75,Air,Ballard-Pope,Ashley Armstrong,95354359,Prepaid,38896698.0
Fiji,listen,Import,1983,8675.94,03-01-2024,Electronics,Wardton,946618,4984.73,Air,Fleming-Williams,Emma Cox,37223443,Net 30,17204389.0
Poland,capital,Export,5976,4121.3,12-12-2020,Electronics,Jasonborough,257033,1984.3,Land,Lopez Group,Rhonda Anderson,95256195,Prepaid,24628889.0
Aruba,likely,Import,3634,4066.97,11-08-2022,Electronics,Kellyview,341606,924.01,Land,Williams-Hall,James Arnold,38475221,Net 60,14779369.0
Faroe Islands,store,Import,3951,1094.16,23-11-2023,Clothing,Alexanderbury,669064,1726.25,Sea,Gentry-Richards,Meredith Martinez,19286547,Cash on Delivery,4323026.0
Ethiopia,fund,Export,8864,3822.7,26-12-2023,Electronics,Caitlinville,712832,2877.32,Sea,"Baxter, Graham and Nicholson",Wesley Grimes,47608627,Cash on Delivery,33884413.0
Guinea-Bissau,once,Import,7542,6867.26,01-03-2021,Furniture,Kimberlyville,785600,1415.62,Land,"Salazar, Sullivan and Dodson",Jonathan Klein,394717,Prepaid,51792875.0
Congo,shake,Import,8753,5121.5,22-10-2023,Clothing,Bryanport,599034,3872.23,Sea,"Mueller, Anderson and Gilbert",Stephen Flores,66353491,Cash on Delivery,44828490.0
Mongolia,by,Export,2211,4895.12,21-04-2024,Furniture,West Dianaside,464787,4723.56,Air,"Hubbard, Johnson and Davis",Adam Miller,62889117,Net 60,10823110.0
Togo,nor,Import,8321,9782.46,21-12-2023,Furniture,South Richardmouth,521699,2478.88,Land,Andersen-White,Mary Miller,85679947,Prepaid,81399850.0
Guatemala,TV,Import,483,7675.72,26-11-2022,Furniture,Kelseyburgh,577797,3890.98,Air,Ballard-Higgins,Jesse Gutierrez,24634253,Prepaid,3707373.0
Honduras,arrive,Export,8399,1238.64,04-09-2022,Toys,Reedton,392559,1471.56,Sea,Clark and Sons,Tyler Mckee,28217193,Net 60,10403337.0
Qatar,woman,Export,681,3154.37,09-04-2022,Electronics,Dawnburgh,755302,3188.7,Sea,"Martin, Davis and Gregory",Michael Sanchez,61819412,Cash on Delivery,2148126.0
Tuvalu,deal,Export,870,8261.84,26-08-2022,Electronics,North Zachary,969042,1331.22,Sea,Brown-Nunez,William Nelson,46561070,Net 60,7187801.0
Togo,hot,Export,3468,680.17,20-08-2022,Machinery,North Patrick,225039,4387.06,Land,Santos Ltd,Marcus Kaiser,14309220,Net 30,2358830.0
Botswana,modern,Import,4239,9898.06,05-05-2023,Furniture,Port Kevin,940546,667.1,Air,"Robertson, Goodwin and Freeman",Kevin Boone,43817884,Net 60,41957876.0
Isle of Man,address,Import,3764,6396.91,16-09-2019,Furniture,New Thomasbury,323327,2785.05,Air,Crawford and Sons,Candace Cook,4641250,Cash on Delivery,24077969.0
Comoros,pressure,Export,3506,4887.14,03-08-2024,Furniture,North Raymondland,787449,3290.3,Sea,"Lewis, Berger and Miller",William Hutchinson,85625894,Prepaid,17134313.0
Bosnia and Herzegovina,over,Export,9072,3347.03,12-12-2019,Toys,Vargastown,604937,3306.61,Land,Stanley-Torres,Louis Stewart,23334169,Cash on Delivery,30364256.0
Pitcairn Islands,father,Export,2145,311.87,22-10-2022,Electronics,East Darius,601937,329.88,Air,"Mason, Sullivan and Blackburn",Lindsay Lewis,76096147,Net 30,668961.0
San Marino,buy,Import,364,2220.21,30-03-2024,Machinery,Port Emilyton,432641,2036.32,Air,"White, Jackson and Cook",April Romero,90263838,Prepaid,808156.0
Guadeloupe,process,Import,1249,7712.34,27-06-2021,Toys,West Brandimouth,521374,1324.5,Air,Harding PLC,Jason Hughes,24546660,Prepaid,9632713.0
Trinidad and Tobago,detail,Export,598,6173.47,09-06-2021,Electronics,Lake Garrettland,909935,2191.79,Air,Turner-Mcneil,Justin Price,8001940,Prepaid,3691735.0
Barbados,cell,Import,3446,9920.2,06-08-2024,Toys,East Andrewburgh,737318,2307.26,Sea,White LLC,Christopher Cunningham,46023480,Cash on Delivery,34185009.0
Slovakia (Slovak Republic),book,Import,6017,5262.36,27-09-2021,Machinery,New Jessicamouth,513807,2710.73,Sea,Walker-Bailey,Marc Myers,58481288,Net 60,31663620.0
Bangladesh,can,Export,333,383.01,11-12-2021,Clothing,Lake Haleyburgh,735430,3970.75,Land,Duncan-Browning,Jordan Phillips,11748427,Net 30,127542.0
Moldova,increase,Import,3506,9851.27,04-07-2024,Furniture,Zhangborough,706340,4588.85,Sea,Floyd-Banks,James Riley,80455656,Cash on Delivery,34538553.0
Sao Tome and Principe,force,Export,7298,9370.41,02-03-2023,Machinery,East Christinefurt,535778,3551.29,Sea,Lee LLC,Jason Walker,88738924,Net 60,68385252.0
British Indian Ocean Territory (Chagos Archipelago),tree,Import,7883,5186.03,23-03-2024,Clothing,Lake Dannyville,213308,4048.07,Air,Kelly PLC,Kristina Ray,34692349,Cash on Delivery,40881474.0
Angola,money,Import,2538,833.73,28-09-2019,Machinery,Lake Jason,713023,238.54,Sea,"Miller, Vaughn and Barrera",Jon Terry,72891366,Prepaid,2116007.0
Solomon Islands,want,Import,6391,6289.47,14-10-2023,Toys,New Deborah,408790,3846.06,Land,Snow Group,Dennis Brown DVM,77421389,Net 60,40196003.0
Zambia,yet,Export,5998,9155.43,05-11-2020,Toys,North Kimberly,592785,4225.17,Land,Baker PLC,Daniel Miller,47747438,Net 60,54914269.0
Senegal,soldier,Import,5058,4202.23,24-08-2024,Toys,Kylefort,738574,32.09,Air,Jones PLC,Kristen Solis,64168123,Cash on Delivery,21254879.0
Mauritania,writer,Export,4655,4698.31,20-05-2022,Toys,West Joshua,356412,864.61,Land,Allison-Clark,Darrell Cox,86491147,Net 30,21870633.0
Burundi,such,Import,5816,8846.57,26-08-2022,Clothing,Jensentown,599295,4018.26,Air,Fleming PLC,Mary Cook,85889369,Net 30,51451651.0
San Marino,ok,Import,307,311.02,28-09-2019,Electronics,Howardborough,660492,368.82,Land,Mendoza PLC,John Mccall,29521650,Prepaid,95483.0
Philippines,seem,Export,3064,1955.47,23-11-2020,Toys,West Edwardburgh,602473,3475.15,Land,Moore-Pacheco,Theresa Adams,48596456,Net 30,5991560.0
United States of America,officer,Import,3900,7954.87,02-03-2023,Electronics,Hortonview,712180,3734.28,Land,Payne Ltd,Robert Watkins,60718043,Prepaid,31023993.0
Mexico,as,Export,9730,9357.16,05-04-2020,Furniture,South Williammouth,682248,18.01,Air,Williams-Krause,James Harrison,77431045,Net 30,91045167.0
Pitcairn Islands,sign,Import,1365,5189.94,06-09-2023,Clothing,Lake Nicholas,644011,1866.46,Land,Harvey-Green,Brittany Williamson,94332078,Prepaid,7084268.0
Senegal,strategy,Import,6143,8684.13,17-06-2021,Furniture,Aaronstad,417579,1422.85,Air,"Freeman, White and Olson",David Lewis,28216703,Net 60,53346611.0
Anguilla,practice,Import,6997,422.79,19-06-2024,Machinery,Lake Joshua,637621,1691.62,Sea,Chapman PLC,Wanda Smith,62261668,Net 30,2958262.0
Namibia,help,Import,1696,1300.56,01-08-2023,Toys,South Alison,827939,78.54,Land,"Shelton, Owens and Cobb",Whitney Lopez,59947068,Net 60,2205750.0
San Marino,during,Import,4652,9325.66,28-12-2022,Toys,South Aprilchester,979932,4671.51,Air,"Lewis, Wagner and Johnson",Scott Krause,27547864,Cash on Delivery,43382970.0
Israel,bank,Export,2184,5237.51,18-12-2019,Machinery,New Margaretborough,328890,106.79,Land,Wright-Kelley,Cody Duffy,74703451,Net 60,11438722.0
Seychelles,service,Import,2288,5670.57,09-01-2022,Furniture,South Christian,690907,4837.74,Sea,"Rios, Crosby and Smith",Leah Rodriguez,19215799,Net 60,12974264.0
South Georgia and the South Sandwich Islands,central,Export,2648,485.26,16-01-2024,Clothing,New Aliceborough,482987,2327.02,Sea,Wagner-Dawson,Stefanie Tate,40704288,Net 60,1284968.0
Saudi Arabia,write,Export,3211,7704.8,31-08-2020,Machinery,East Chadland,227362,3583.41,Air,Rodriguez Group,Walter Smith,77442155,Cash on Delivery,24740113.0
Peru,line,Export,9382,4635.9,10-07-2024,Furniture,Port Paulland,564733,2353.18,Land,"Conner, Bates and Cunningham",Kristi Rodriguez,55611784,Cash on Delivery,43494014.0
Nauru,early,Import,24,4972.23,21-12-2019,Clothing,Tonyaberg,401308,4415.73,Air,Smith and Sons,Barbara Sanchez,52204730,Prepaid,119334.0
Paraguay,town,Export,4412,3036.98,12-05-2023,Furniture,New Kenneth,756053,4411.99,Sea,Riggs Inc,Monica Hill,35274642,Cash on Delivery,13399156.0
Uzbekistan,table,Export,1253,2002.32,15-11-2020,Toys,Josephchester,580355,2924.99,Air,Clarke and Sons,William Jackson,74751994,Net 60,2508907.0
Jordan,look,Export,738,9060.46,23-05-2020,Electronics,Beanberg,213252,2388.09,Sea,"Hughes, Martin and Mcgee",Phillip Burch,18436757,Prepaid,6686619.0
Brazil,member,Export,2976,9509.87,10-06-2020,Machinery,North Douglastown,915134,1875.43,Land,Luna-Harper,Tammy Williams,42045338,Net 60,28301373.0
Morocco,president,Import,7485,769.62,26-07-2020,Electronics,Steinton,655235,1258.75,Land,Lewis-Ford,Steven Carter,94565629,Net 30,5760606.0
Montenegro,as,Export,4626,766.04,01-08-2020,Machinery,Lake Brookehaven,367069,2213.22,Air,"Wilson, Williams and Smith",Eric Sanders,95815168,Prepaid,3543701.0
Cameroon,city,Import,4451,2706.72,01-07-2022,Toys,East Yolanda,354520,4683.29,Sea,Roberts-Meyer,Stephen Wood,27324368,Net 60,12047611.0
Comoros,develop,Export,6525,6020.94,25-11-2022,Machinery,Scottport,374193,1525.69,Land,Schultz-Malone,Samantha Reese,62286530,Prepaid,39286634.0
Bangladesh,focus,Export,6085,5653.99,11-08-2021,Furniture,South Lisa,254092,4862.77,Land,Mccall Inc,Karen King,14415361,Net 60,34404529.0
Grenada,part,Import,1088,2999.59,11-01-2022,Machinery,Jessicaville,661946,3477.32,Air,Howard-Fisher,Ethan King,44170399,Net 60,3263554.0
Norway,give,Import,2293,2637.77,20-07-2020,Furniture,Kochmouth,322893,450.61,Sea,Rose-Turner,Calvin Short,18623064,Net 60,6048407.0
Germany,for,Export,3240,1550.51,21-12-2021,Toys,West Alyssa,926013,630.77,Sea,Mcdonald PLC,Grant Kirby,89309363,Net 30,5023652.0
Jersey,sport,Import,901,3023.71,12-01-2022,Machinery,Kimberlyside,662336,3168.14,Land,"White, Cannon and Arnold",David Gill,13954070,Prepaid,2724363.0
Gabon,way,Import,2694,9562.18,15-12-2019,Machinery,Arnoldfurt,442163,3018.89,Air,"Reyes, Ryan and Evans",Dr. Steven Brown PhD,62735627,Net 60,25760513.0
Burkina Faso,defense,Import,3130,9371.78,31-08-2023,Toys,Mcbrideton,823465,2272.87,Sea,Avila Ltd,Jorge Spencer,62767020,Cash on Delivery,29333671.0
Peru,yes,Import,2333,4237.89,12-05-2022,Furniture,East Christine,405701,2779.64,Air,Zamora-Martin,Jenna Coleman,40588682,Net 30,9886997.0
Somalia,audience,Export,757,8827.65,18-05-2021,Electronics,Butlerport,271646,3822.63,Sea,"Manning, Finley and Serrano",Jeffrey Hill,52572071,Cash on Delivery,6682531.0
Portugal,movement,Export,3294,4651.64,24-03-2021,Toys,North Jacobbury,941870,3255.5,Sea,"Peterson, Waters and Wright",Michael Williams,94609569,Net 30,15322502.0
Ghana,compare,Import,9619,8930.31,19-03-2020,Toys,Davidfurt,527448,524.81,Sea,"Smith, Martin and Molina",Donna Williams,72501725,Net 60,85900652.0
